"@title","Bahasa Indonesia"
"#00032","Road Wolf"
"#00033","Wolf"
"#00034","<0> merupakan mobil kelas atas yang memberikan manuver hebat tanpa need to compromise on comfort. A classic grand tourer."
"#00035","Super Trike"
"#00036","S Trike"
"#00037","<0> merupakan modifikasi roda tiga, dengan each part having been specially selected by experts. ringan dan mesin sangat bertenaga, it leaves the competition in the dust."
"#00038","Sally Prin Trike"
"#00039","Prin Trike"
"#00040","<0> merupakan modikifasi kendaraan roda tiga. Sally Prin's encouragement is surely all you need to outdo yourself on the track."
"#00041","Coupe"
"#00042","<0> merupakan mobil sport 2 pintu. Akselerasi, tires screeching, dan tikungan pada kecepatan tinggi tanpa khawatir. Namun harus waspada pada jalan berbukit karena dapat dgn mudah keluar trek."
"#00043","Roadster"
"#00044","<0> merupakan mobil sport atap terbuka dengan bodi yang ramping dan baik dalam akselerasi. Beratnya bahkan seimbang untuk meningkatkan stabilitas dan tikungan, yang membuatnya banyak dibeli."
"#00045","Aye-Kia Car"
"#00046","Aye-Kia"
"#00047","The <0> is a kit car, sold as a set of parts you put together yourself. A high output engine and a light body make for great acceleration, but unfortunately the car is not very sturdy."
"#00048","Proto Car"
"#00049","Proto"
"#00050","The <0> is a prototype sports car with an aerodynamic shape that helps it achieve a very high max speed. The downside of its low air resistance is that it's not the best at cornering."
"#00051","Hot Rod"
"#00052","The <0> is a remake of the Classic Car, modified for lower weight by removing the bumpers and roof, making it far more responsive."
"#00053","Rabbit Car"
"#00054","Rabbit"
"#00055","The <0> was originally a fairground ride, which has been modified for circuit racing. Great acceleration and an eye-catching design."
"#00056","Super Car"
"#00057","Super"
"#00058","The <0> is practically made to order. Very rare, with parts carefully selected to achieve the best all-round performance."
"#00059","Chicken Car"
"#00060","Chicken"
"#00061","Oddly, the <0> looks more like a duckie. It takes tight turns easily, but its shape means it gets slowed down by air resistance. Something tells you it may really shine in rainy weather, though."
"#00062","Thoroughbred"
"#00063","The <0> sports car has been specially designed for racing. The interior is simple, housing a high-output engine. The only problem with this car is its fragility, breaking down fairly often."
"#00064","Banana Car"
"#00065","Banana"
"#00066","Banana maniacs rejoice, for here comes the <0>. Although this sports car has the tendency to lose traction and spin out of control, it sometimes provides you with extra Research Data."
"#00067","Mach Car"
"#00068","Mach"
"#00069","The <0> is an exclusive sports car manufactured by Mach Factory. Is launched into the air when using nitro boost, flying over competing cars. Good off-road handling as well."
"#00070","Kairo Kar"
"#00071","Kairobot"
"#00072","Kairobot returns in a new form, a super car! Gracefully outruns competition in their more conventional vehicles, but alas, is prone to exploding at the slightest impact."
"#00073","Racing Cart"
"#00074","Cart"
"#00075","The <0>'s minimalistic, simple design is perfect for racing. Lightweight, fast, making high-speed cornering a piece of cake, although not very sturdy. Handle it with care, or it might explode."
"#00076","Cigar Car"
"#00077","Cigar"
"#00078","The <0> may be simple in its design, but it's more powerful than you'd give it credit for. If it only were better at cornering."
"#00079","Turtle Car"
"#00080","Turtle"
"#00081","The <0> was originally a fairground ride, which has been modified for circuit racing. Offers great handling and an eye-catching design."
"#00082","Aero Car"
"#00083","The <0> actually benefits from aerodynamic drag generated at high speeds by turning it into downforce. This makes handling easier, but reduces its top speed."
"#00084","Dragster"
"#00085","Drag"
"#00086","The <0> is a racing car optimized for drag racing. Drag racing takes place on straight courses, so it's all about acceleration and speed. You guessed it, this car isn't known for good handling."
"#00087","Wing Car"
"#00088","Wing"
"#00089","The <0> has been designed for handling. The space between the body and the ground is reduced to generate stronger airflow, which improves handling. Cornering at high speed is not a problem."
"#00090","Spiral Car"
"#00091","Spiral"
"#00092","The <0> has been equipped with drills which decrease aerodynamic drag by redirecting airflow. This increases acceleration and top speed at the cost of handling."
"#00093","Sonic Car"
"#00094","Sonic"
"#00095","The <0> is an open-wheel racing car. Designed to generate tremendous downforce, it boasts terrific acceleration and handling. The cockpit is surprisingly sturdy, so it's safer than it looks."
"#00096","Drag Racer"
"#00097","D Racer"
"#00098","The <0> is a racing car optimized for drag racing. The design redirects airflow to increase downforce and boost acceleration. Difficult to beat on a straight track."
"#00099","The 88"
"#00100","=MID(#00099,1,-2)&'88'"
"#00101","<0>'s revolutionary feature is its twin chassis. The inner chassis has the same role as a regular one, while the outer chassis is purely for the ground effect."
"#00102","Rocket Car"
"#00103","Rocket"
"#00104","The <0> has an actual rocket engine. Its aerodynamic shape minimizes air resistance, allowing it to reach its top speed almost instantly. Low aerodynamic resistance makes handling difficult, though."
"#00105","Striker"
"#00106","The <0> is a repurposed jet plane. Thanks to jet propulsion, it can reach incredible speeds. Its low aerodynamic resistance makes cornering tricky, but it can fly making terrain irrelevant."
"#00107","Neo Formula"
"#00108","The <0> is a revolutionary racing car with a high-tech control system and all-digital apparatus. The airflow can be regulated thanks to moveable wings."
"#00109","Buggy"
"#00110","The <0> is a small, light-weight rally car. It's designed for off-road racing, so it performs well on gravel, and its engine is strong enough for racing on steep hills."
"#00111","Bullpen Car"
"#00112","Bullpen"
"#00113","The <0> would normally only transport baseball players, but it doesn't say that it can't be used for racing! It's designed for driving on grass so it can be considered an off-road vehicle."
"#00114","Truck Trike"
"#00115","T Trike"
"#00116","The <0> is a heavy, sturdy vehicle which can be equipped with more parts than most others. The handling is pretty good, and it's just the thing for making local deliveries."
"#00117","Moon Buggy"
"#00118","Moon"
"#00119","The <0> is a rally car designed for driving on the Moon. The antennae collect all sorts of driving data, helping the driver level up faster. As for this vehicle's performance... Well. It's a buggy."
"#00120","Frog Car"
"#00121","Frog"
"#00122","The <0> is a remodeled amphibious vehicle used by the army. Its diesel engine offers impressive acceleration, but the top speed fails to impress."
"#00123","Lion Car"
"#00124","Lion"
"#00125","The <0> was originally a fairground ride, which has been modified for circuit racing. Offers great speed and an eye-catching design."
"#00126","Wild Car"
"#00127","Wild"
"#00128","The <0> is an off-road rally vehicle that's easily fixed if it starts to break down. It has a very responsive steering system for navigating, which also helps with cornering."
"#00129","Tank Car"
"#00130","Tank"
"#00131","The <0> was a originally a light tank, repurposed as a rally car. The caterpillar tracks give it good grip on icy roads at the cost of lower speed. It can turn by reversing either caterpillar track."
"#00132","Truckster"
"#00133","The <0> is a racing truck. The body has been adapted to reduce weight, and with a high-capacity engine, it can reach very high speeds, although acceleration is rather low."
"#00134","SL Car"
"#00135","SL"
"#00136","The <0> is inspired by steam trains, so a collision with another vehicle would end badly for the other car. It accelerates slowly but once at high speed, it's virtually unstoppable."
"#00137","Super Rally"
"#00138","S Rally"
"#00139","The <0> car has a very unique design with very narrow wheelbase. It's not very stable on straight tracks, but it shows its true worth when cornering."
"#00140","Foxy"
"#00141","=#00140"
"#00142","Mochipon Machine"
"#00143","Mochipon"
"#00145","Heavy Car"
"#00146","Heavy"
"#00147","Wairo Car"
"#00148","Wairo"
"#00150","Sports Player"
"#00151","Coach"
"#00152","Played professionally abroad, then retired and became a team coach. Has excellent insight in putting together winning teams.<br><br>Special skill: gain extra EXP."
"#00153","Trader"
"#00154","CEO"
"#00155","Started career as a salesperson, and made a fortune selling wares. Very persuasive, expert negotiator who is sure to keep your team's finances in good order.<br><br>Special skill: gain extra funds."
"#00156","Researcher"
"#00157","Chief"
"#00158","Worked for a major car maker in the past, but lost the job after blowing up their lab. Nevertheless, has lots of know-how when it comes to vehicle design.<br><br>Special skill: gain extra Research Data."
"#00159","Cook"
"#00160","A chef who embarked on a journey to discover new ingredients, and accidentally developed an interest in racing. Cooks wonderful food that makes everyone happier.<br><br>Special skill: restores Stamina."
"#00161","Musician"
"#00162","Leader"
"#00163","Used to be with a famous recording studio, but quit when the office politics started to get out of hand. Has plenty of charisma, which may attract fans to your team.<br><br>Special skill: improves Form."
"#00164","Pirate"
"#00165","Captain"
"#00166","A seadog who got marooned after running aground. Getting a new ship is no easy matter, so switching to cars was the better option. Has a sense for finding treasure.<br><br>Special skill: get extra items."
"#00167","Carpenter"
"#00168","Boss"
"#00169","Previously an esteemed carpenter, who had  bad luck until the business was no longer viable. Now they can put their skills to use crafting things for you.<br><br>Special skill: restores Durability."
"#00170","Secretary"
"#00171","Car Dealer"
"#00172","Car Federation Rep"
"#00173","Car Federation"
"#00174","Ku-max Construction Rep"
"#00175","Ku-max Construction"
"#00176","Sponsor"
"#00177","Paint Shop"
"#00178","Pumpkin"
"#00179","Item Shop"
"#00180","Wairobot"
"#00181","King Ackbar"
"#00182","=#00071"
"#00183","=#00071"
"#00184","Courier"
"#00185","Autos United Staff"
"#00186","Autos United"
"#00187","Dr. Chimpan"
"#00188","=#00167"
"#00189","Promoter"
"#00190","Mayor Wheeler"
"#00191","Duke Swift"
"#00192","Mr. Zippy"
"#00193","Oil Magnate"
"#00194","Ol' Medell"
"#00195","Egg Seller"
"#00196","(Mechanic)"
"#00197","(Driver)"
"#00198","Car Federation Staff"
"#00199","Autos United Rep"
"#00200","Street Beat Ads"
"#00201","Badum Bearington"
"#00202","Bacon Beats"
"#00203","Dr. Mochipon"
"#00204","Reporter"
"#00205","Super Boss"
"#00206","Mega Boss"
"#00207","Ultimate Boss"
"#00208","Photographer"
"#00209","Anne Spark"
"#00210","Spark"
"#00211","I love the smell of gasoline."
"#00212","Ty Flats"
"#00213","Mike"
"#00214","My hobby is shaving."
"#00215","Clay Plower"
"#00216","Plower"
"#00217","Amateur farmer."
"#00218","Speed Smith"
"#00219","Smith"
"#00220","Hard work pays!"
"#00221","Cat Kitty"
"#00222","Kitty"
"#00223","Likes dogs more."
"#00224","Axle Rows"
"#00225","Jill"
"#00226","Had glasses since age 2."
"#00227","Mia Mile"
"#00228","Mile"
"#00229","I'm good with a wrench."
"#00230","Will Wheels"
"#00231","Wheels"
"#00232","I'm actually 36."
"#00233","Cruz Turner"
"#00234","Turner"
"#00235","Part-time mechanic."
"#00236","Bae Bee"
"#00237","Bee"
"#00238","Commutes in a buggy."
"#00239","Skid McGee"
"#00240","McGee"
"#00241","I'm quite the athlete."
"#00242","Panica D."
"#00243","D."
"#00244","Looking at tires calms me."
"#00245","Sneezy Choo"
"#00246","Choo"
"#00247","Suffers from hay fever."
"#00248","Shea Shift"
"#00249","Shift"
"#00250","I'm kind of shy."
"#00251","Han Polo"
"#00252","Polo"
"#00253","Big on fashion."
"#00254","Gus O'Leen"
"#00255","O'Leen"
"#00256","I wanted to be an astronaut."
"#00257","Emmy Greats"
"#00258","Greats"
"#00259","Wants to emigrate."
"#00260","Pup E. Luv"
"#00261","E. Luv"
"#00262","Cars first, marriage later."
"#00263","Hub Capp"
"#00264","Capp"
"#00265","I'm a good apple peeler."
"#00266","Sakura Igazo"
"#00267","Igazo"
"#00268","Knows some ninja tricks."
"#00269","Crash Taylor"
"#00270","Taylor"
"#00271","I like the underdogs."
"#00272","Tom Edson"
"#00273","Edson"
"#00274","I'm quite inventive."
"#00275","Alice Alison"
"#00276","Alison"
"#00277","Travels in a private jet."
"#00278","Leo D. Vin"
"#00279","D. Vin"
"#00280","Show me the fast cars!"
"#00281","Diana Ride"
"#00282","Mary"
"#00283","Total car enthusiast."
"#00284","Tony Deff"
"#00285","Deff"
"#00286","Busks on the weekends."
"#00287","Alf Lobel"
"#00288","Lobel"
"#00289","Mechanic since elementary."
"#00290","Mick Myson"
"#00291","Myson"
"#00292","I even build cars at home."
"#00293","Lynda Seleb"
"#00294","Seleb"
"#00295","Born in a tiny town no one heard of."
"#00296","Jackie Tan"
"#00297","Tan"
"#00298","Fastest tire-changer ever!"
"#00299","Mo Andretti"
"#00300","Andretti"
"#00301","Family runs an auto company."
"#00302","Lucky Millyan"
"#00303","Millyan"
"#00304","Spends all money on the lottery."
"#00305","Boba Fatt"
"#00306","Fatt"
"#00307","I'm friends with a star."
"#00308","May Crashley"
"#00309","Crashley"
"#00310","I'm an animal on the track."
"#00311","Bo Bumper"
"#00312","Bo"
"#00313","I keep my seatbelt loose."
"#00314","Tak Goto"
"#00315","Goto"
"#00316","I try to drive safely."
"#00317","Iggy Suzuki"
"#00318","Suzuki"
"#00319","Back in my prime!"
"#00320","Deb Steppe"
"#00321","Steppe"
"#00322","Used to be in a comedy duo."
"#00323","Pat Posh"
"#00324","Posh"
"#00325","I came here in a limo."
"#00326","Ukyo Pajama"
"#00327","Pajama"
"#00328","I race during my commute."
"#00329","Polly Pan"
"#00330","Pan"
"#00331","Took advanced driver's ed."
"#00332","Tom Booze"
"#00333","Dryer"
"#00334","Mmm... Beef jerky."
"#00335","Max Muffler"
"#00336","Muffler"
"#00337","Been a racer all my life."
"#00338","Kathy"
"#00339","Kat"
"#00340","My steering tech is unique."
"#00341","Bonny Barko"
"#00342","Barko"
"#00343","My family reuses tissues."
"#00344","Eva Eng"
"#00345","Eng"
"#00346","I went to school with my CEO."
"#00347","Jo Aldente"
"#00348","Aldente"
"#00349","Ready to roll out!"
"#00350","Huck Norris"
"#00351","Norris"
"#00352","I'm confused for a woman."
"#00353","Serena Sun"
"#00354","Sun"
"#00355","Proud of having good posture."
"#00356","Koala Lamper"
"#00357","Lamper"
"#00358","My hair is aerodynamic."
"#00359","Ackbar"
"#00360","Racing is a king's sport!"
"#00361","Dee Doria"
"#00362","Doria"
"#00363","I always sleep 8 hours."
"#00364","Becky Blue"
"#00365","Blue"
"#00366","Which seat should I take?"
"#00367","Mike Shoe"
"#00368","Shoe"
"#00369","I can drive on two wheels."
"#00370","Oby Bun"
"#00371","Bun"
"#00372","My nickname is ""Crazy 8."""
"#00373","F. Alfonso"
"#00374","Alfonso"
"#00375","Lemme at 'em!"
"#00376","Ben Jutton"
"#00377","Jutton"
"#00378","I'm a great parallel parker."
"#00379","Kimi Kone"
"#00380","Kone"
"#00381","They see me rollin', they hatin'."
"#00382","Maria Sharp"
"#00383","Sharp"
"#00384","I used to be a model."
"#00385","Nic Nosberg"
"#00386","Nosberg"
"#00387","I never lose at racing games."
"#00388","Lou Hamton"
"#00389","Hamton"
"#00390","I like wearing costumes."
"#00391","Ginny Cotton"
"#00392","Cotton"
"#00393","I wanna drive around the world."
"#00394","Sep Pang"
"#00395","Pang"
"#00396","Never missed a day of school."
"#00397","Ireton Cena"
"#00398","Cena"
"#00399","The fastest in South America."
"#00400","S. Bettel"
"#00401","Bettel"
"#00402","For country!"
"#00403","Mick Tesla"
"#00404","I've memorized every car ever."
"#00405","South Suns"
"#00406","Sunday Seals"
"#00407","Nice Guys"
"#00408","Formula None"
"#00409","Race Radishes"
"#00410","Blue Skies"
"#00411","Big Squids"
"#00412","Dusty Devils"
"#00413","Roadtrotters"
"#00414","Asphalt Angels"
"#00415","Super Novas"
"#00416","Black Holes"
"#00417","Liquid Fire"
"#00418","Billy Goats"
"#00419","Eat Our Dust"
"#00420","Sonic Terror"
"#00421","Zoom Zooms"
"#00422","BMUU Motors"
"#00423","Canton Cows"
"#00424","Horde Motors"
"#00425","Greased Light"
"#00426","Fasternyu"
"#00427","Fight Farm 5"
"#00428","Astro Boyd"
"#00429","Sunday Driver"
"#00430","Kitty Katz"
"#00431","Dog-Loving"
"#00432","Les Lux"
"#00433","Blinding Boomer"
"#00434","Mad Dog Al"
"#00435","Race Maniac"
"#00436","Tyger Roary"
"#00437","Fearsomely Fierce"
"#00438","Dave Ironfield"
"#00439","Trickster"
"#00440","Bunny Buggs"
"#00441","Pink Nightmare"
"#00442","Mr A"
"#00443","=#00193"
"#00444","Parco Molo"
"#00445","Wild Card"
"#00446","Dirty Steven"
"#00447","Zoomlord"
"#00448","Demon Hill"
"#00449","Speedster"
"#00450","Speedy Gonzalo"
"#00451","Unstoppable Explosion"
"#00452","King of Everything"
"#00453","Sneak Master"
"#00454","Mr. K"
"#00455","Mean Machine"
"#00456","Freelancer"
"#00457","Office Clerk"
"#00458","Supervisor"
"#00459","Manager"
"#00460","Dept. Head"
"#00461","=#00154"
"#00462","Hon. Ch."
"#00463","Student"
"#00464","Admin Staff"
"#00465","Landowner"
"#00466","=#00153"
"#00467","=#00161"
"#00468","Pilot"
"#00469","Count"
"#00470","Homemaker"
"#00471","Jogger"
"#00472","Angler"
"#00473","Cowboy"
"#00474","Prima Donna"
"#00475","GP Racer"
"#00476","Princess"
"#00477","Cart Racer"
"#00478","Mechanic"
"#00479","=#00159"
"#00480","Wrestler"
"#00481","Hunter"
"#00482","Golfer"
"#00483","Birdwatcher"
"#00484","Designer"
"#00485","Illustrator"
"#00486","Architect"
"#00487","Archer"
"#00488","Falconer"
"#00489","Aristocrat"
"#00490","Barista"
"#00491","Diver"
"#00492","Igloo Builder"
"#00493","Pyrotechnician"
"#00494","Scientist"
"#00495","Guitarist"
"#00496","Pianist"
"#00497","Web Surfer"
"#00498","Waitress"
"#00499","Performer"
"#00500","Ramen Pro"
"#00501","Beautician"
"#00502","Nun"
"#00503","Boy"
"#00504","Farmer"
"#00505","Celebrity"
"#00506","Girl"
"#00507","Ping Pong Pro"
"#00508","Tennis Player"
"#00509","Basketballer"
"#00510","Engineer"
"#00511","Programmer"
"#00513","Pastry Chef"
"#00514","Detective"
"#00515","Astronomer"
"#00516","Fortune-teller"
"#00517","Driller"
"#00518","Model"
"#00519","Bob's Drugs"
"#00520","Froggerade"
"#00521","Dry Springs"
"#00522","Cheapy P's"
"#00523","Mocha Cola"
"#00524","Dull Comp"
"#00525","Dairy Duke"
"#00526","Curry Coop"
"#00527","Bridgerock"
"#00528","Race Trax"
"#00529","Milky Milk"
"#00530","River Bank"
"#00531","Spongecorp"
"#00532","AD&D"
"#00533","Pear Inc."
"#00534","Honza Cars"
"#00535","Carbucks"
"#00536","Nights Inn"
"#00537","Sillycone Inst."
"#00538","Microsloth"
"#00539","Ackbar Oil"
"#00540","Autoburg"
"#00541","Kairo Group"
"#00542","Road"
"#00543","Exhibition Hall"
"#00544","Here you can display replicas of owned vehicles."
"#00545","Construction Site"
"#00546","Enables you to construct facilities. The more you have, the quicker the work goes."
"#00547","Clover"
"#00548","Improves nearby environment."
"#00549","Grove"
"#00550","Hydrangea"
"#00551","Flowerbed"
"#00552","Maple"
"#00553","Cherry Tree"
"#00554","Cedar"
"#00555","Christmas Tree"
"#00556","Bronze Statue"
"#00557","Fountain"
"#00558","Clocktower"
"#00559","Kairobot Statue"
"#00560","<0>, become a legend!"
"#00561","Stylish Castle"
"#00562","Improves nearby environment.<br>Create a castle town!"
"#00563","Kairo Boss"
"#00564","Dancing Kairobot"
"#00565","The dancing Kairobot statue spreads around happiness."
"#00566","Dancing Wairobot"
"#00567","The dancing Wairobot statue brings a smile to everyone around."
"#00568","Dancing Sally Prin"
"#00569","The dancing Sally Prin statue brightens up the day for everyone."
"#00570","GP Bronze Statue"
"#00571","Congrats on winning Golden GP!<br>- <date> -"
"#00572","GP Silver Statue"
"#00573","Congrats on your 2nd Golden GP victory!<br>- <date> -"
"#00574","GP Gold Statue"
"#00575","Congrats on winning the final Golden GP!<br>- <date> -"
"#00576","Refinery"
"#00577","Pumps up <co=0066cc>fuel</co> from underground. Tap fuel to collect it."
"#00578","Nitro Plant"
"#00579","Fractures rocks to extract <co=0066cc>nitro gas</co>. Tap the gas to collect it."
"#00580","Vending Machine"
"#00581","Sells a wide range of items, generating income."
"#00582","Canteen"
"#00583","Serves meals for the staff, generating some income."
"#00584","City Car Factory"
"#00585","Manufactures cars to order, generating income."
"#00586","Test Lab"
"#00587","This is where researchers carry out experiments to obtain <co=0066cc>Research Data</co>."
"#00588","Museum"
"#00589","Obtain Research Data by analyzing the team's records and past achievements."
"#00590","Spa"
"#00591","Obtain Research Data while relaxing."
"#00592","Chimpan Z Lab"
"#00593","Staffed by lots of brainiacs. Develops new technologies."
"#00594","Chicken Coop"
"#00595","Feed grain to chickens and they'll lay eggs. Compete against other teams to win grain."
"#00596","Training Center"
"#00597","A gym with all the latest exercise machines. Levels up mechanics."
"#00598","Admin Office"
"#00599","Get deals with sponsors and they'll reward you based on performance at races."
"#00600","Adv"
"#00601","Design Office"
"#00602","This is where new car designs are drafted. Improves car <co=0066cc>designs</co>."
"#00603","Wind Tunnel"
"#00604","New cars can be <co=0066cc>tested in the wind tunnel </co>to check how aerodynamic they are."
"#00605","Test Track"
"#00606","<co=0066cc>Test run</co> new cars to obtain performance data."
"#00607","Circuit Simulator"
"#00608","Test run vehicles on a circuit. Grants a qualification race bonus for <co=0066cc>on-road courses</co>."
"#00609","Rally Simulator"
"#00610","Test run vehicles on a rally course. Grants a qualification race bonus for <co=0066cc>off-road courses</co>."
"#00611","Icy Road Simulator"
"#00612","Test run vehicles on icy surfaces. Grants a qualification race bonus for<co=0066cc> icy terrain courses</co>."
"#00613","Power Lab"
"#00614","Engine-tuning facility. Use it to boost speed for all your vehicles."
"#00615","Spd"
"#00616","Training Lab"
"#00617","Power transmission-tuning facility. Use it to boost acceleration for all your vehicles."
"#00618","Acc"
"#00619","Aero Lab"
"#00620","Aerodynamic-tuning facility. Use it to make all your vehicles more aerodynamic."
"#00621","Aerodynamics"
"#00622","Ad Agency"
"#00623","Check out some ads to earn GP Medals. Upgrade to view more ads."
"#00624","Fuel Tank"
"#00625","Large tank for storing<co=0066cc> fuel</co>, which is needed for racing."
"#00627","Nitro Tank"
"#00628","Large tank for storing <co=0066cc>nitro gas</co>, which is used for boosts during racing."
"#00629","Grain Silo"
"#00630","Large silo for storing <co=0070c0>grain</co>, which can be fed to egg-laying chickens."
"#00631","Warehouse"
"#00632","Storage facility for <co=0066cc>parts</co> and <co=0066cc>items</co>. Excess objects are collected at regular intervals."
"#00633","Garage"
"#00634","Garage for the cars you manufactured."
"#00635","Bloomtown"
"#00636","USA"
"#00637","=#00635"
"#00638","Dinkytown"
"#00639","=#00638"
"#00640","Sand Beach"
"#00641","=#00640"
"#00642","Mile Course"
"#00643","=#00228"
"#00644","Cebu Circuit"
"#00645","Philippines"
"#00646","Cebu"
"#00647","Farflung Isle"
"#00648","Farflung"
"#00649","Seabury Circuit"
"#00650","Seabury"
"#00651","Highpeaks Speedway"
"#00652","Highpeaks"
"#00653","Green Park"
"#00654","=#00653"
"#00655","Kairoland"
"#00656","Prin Island"
"#00657","Lakemore Track"
"#00658","Lakemore"
"#00659","Beaverdale Circuit"
"#00660","Beaverdale"
"#00661","Steedstead Park"
"#00662","Steedstead"
"#00663","Adelaide Park"
"#00664","Australia"
"#00665","Adelaide"
"#00666","Queens Circuit"
"#00667","New Zealand"
"#00668","Queens"
"#00669","Jakarta Circuit"
"#00670","Indonesia"
"#00671","Jakarta"
"#00672","Komodo Park"
"#00673","Komodo"
"#00674","Kuala Lumpur"
"#00675","Malaysia"
"#00676","=#00674"
"#00677","Sentosa Circuit"
"#00678","Singapore"
"#00679","Sentosa"
"#00680","Stockholm Circuit"
"#00681","Sweden"
"#00682","Stockholm"
"#00683","Helsinki Circuit"
"#00684","Finland"
"#00685","Helsinki"
"#00686","Jeddah Park"
"#00687","Saudi Arabia"
"#00688","Jeddah"
"#00689","Giza Circuit"
"#00690","Egypt"
"#00691","Giza"
"#00692","Casablanca Park"
"#00693","Morocco"
"#00694","Casablanca"
"#00695","Lisbon Circuit"
"#00696","Portugal"
"#00697","Lisbon"
"#00698","Monte Carlo Circuit"
"#00699","Monaco"
"#00700","Monte Carlo"
"#00701","Barcelona Park"
"#00702","Spain"
"#00703","Barcelona"
"#00704","Marseille Circuit"
"#00705","France"
"#00706","Marseille"
"#00707","Athens Circuit"
"#00708","Greece"
"#00709","Athens"
"#00710","Paris Circuit"
"#00711","Paris"
"#00712","Yekaterin Circuit"
"#00713","Russia"
"#00714","Yekaterinburg"
"#00715","Reykjavik Circuit"
"#00716","Iceland"
"#00717","Reykjavik"
"#00718","Padborg Park"
"#00719","Denmark"
"#00720","Padborg"
"#00721","Prague Circuit"
"#00722","Czech Republic"
"#00723","Prague"
"#00724","Toronto Circuit"
"#00725","Canada"
"#00726","Toronto"
"#00727","Berlin Speedway"
"#00728","Germany"
"#00729","Berlin"
"#00730","San Luis Circuit"
"#00731","Mexico"
"#00732","San Luis"
"#00733","Dunefield Park"
"#00734","Dunefield"
"#00735","Kavir Circuit"
"#00736","Iran"
"#00737","Kavir"
"#00738","Atacama Circuit"
"#00739","Chile"
"#00740","Atacama"
"#00741","Warsaw Park"
"#00742","Poland"
"#00743","Warsaw"
"#00744","Minsk Park"
"#00745","Belarus"
"#00746","Minsk"
"#00747","Chimp Island"
"#00748","Banana Isle"
"#00749","Kaunas Circuit"
"#00750","Lithuania"
"#00751","Kaunas"
"#00752","Tallinn Circuit"
"#00753","Estonia"
"#00754","Tallinn"
"#00755","Riga Race Track"
"#00756","Latvia"
"#00757","Riga"
"#00758","Ankara Circuit"
"#00759","Turkey"
"#00760","Ankara"
"#00761","Tripoli Speedway"
"#00762","Lebanon"
"#00763","Tripoli"
"#00764","Baghdad Circuit"
"#00765","Iraq"
"#00766","Baghdad"
"#00767","Milano Speedway"
"#00768","Italy"
"#00769","Milano"
"#00770","Manchester Circuit"
"#00771","England"
"#00772","Manchester"
"#00773","Budapest Circuit"
"#00774","Hungary"
"#00775","Budapest"
"#00776","Borneo Circuit"
"#00777","Borneo"
"#00778","Bergen Circuit"
"#00779","Norway"
"#00780","Bergen"
"#00781","Siberia Circuit"
"#00782","Siberia"
"#00783","Spit Falls Circuit"
"#00784","Spit Falls"
"#00785","Shoreditch Circuit"
"#00786","Shoreditch"
"#00787","Xinjiang Circuit"
"#00788","China"
"#00789","Xinjiang"
"#00790","Astana Circuit"
"#00791","Kazakhstan"
"#00792","Astana"
"#00793","Rio Park"
"#00794","Brazil"
"#00795","Rio"
"#00796","Alto Parana Circuit"
"#00797","Paraguay"
"#00798","Alto Parana"
"#00799","Bogota Circuit"
"#00800","Colombia"
"#00801","Bogota"
